2025-06-21 21:37:29,137 INFO    Thread-11 (_run_job):120361 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_setup.py:_flush():70] Configure stats pid to 120361
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_setup.py:_flush():70] Loading settings from /home/cagri/.config/wandb/settings
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_setup.py:_flush():70] Loading settings from /home/cagri/Desktop/IS-584-Term-Project/wandb/settings
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/cagri/Desktop/IS-584-Term-Project/wandb/run-20250621_213729-kpw3sy0o/logs/debug.log
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/cagri/Desktop/IS-584-Term-Project/wandb/run-20250621_213729-kpw3sy0o/logs/debug-internal.log
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7e436f4a5d00>
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_init.py:init():852] calling init triggers
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_init.py:init():857] wandb.init called with sweep_config: {'max_length': 512, 'n_shots': 2}
config: {'_wandb': {}}
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_init.py:init():893] starting backend
2025-06-21 21:37:29,138 INFO    Thread-11 (_run_job):120361 [wandb_init.py:init():897] sending inform_init request
2025-06-21 21:37:29,139 INFO    Thread-11 (_run_job):120361 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-21 21:37:29,139 INFO    Thread-11 (_run_job):120361 [wandb_init.py:init():907] backend started and connected
2025-06-21 21:37:29,141 INFO    Thread-11 (_run_job):120361 [wandb_run.py:_config_callback():1436] config_cb None None {'max_length': 512, 'n_shots': 2}
2025-06-21 21:37:29,142 INFO    Thread-11 (_run_job):120361 [wandb_run.py:_label_probe_notebook():1376] probe notebook
2025-06-21 21:37:29,143 INFO    Thread-11 (_run_job):120361 [wandb_init.py:init():1005] updated telemetry
2025-06-21 21:37:29,146 INFO    Thread-11 (_run_job):120361 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-06-21 21:37:29,790 INFO    Thread-11 (_run_job):120361 [wandb_init.py:init():1104] starting run threads in backend
2025-06-21 21:37:29,893 INFO    Thread-11 (_run_job):120361 [wandb_run.py:_console_start():2573] atexit reg
2025-06-21 21:37:29,893 INFO    Thread-11 (_run_job):120361 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-06-21 21:37:29,893 INFO    Thread-11 (_run_job):120361 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-06-21 21:37:29,893 INFO    Thread-11 (_run_job):120361 [wandb_run.py:_redirect():2513] Redirects installed.
2025-06-21 21:37:29,894 INFO    Thread-11 (_run_job):120361 [wandb_init.py:init():1150] run started, returning control to user process
2025-06-21 21:39:59,902 INFO    MainThread:120361 [wandb_init.py:_post_run_cell_hook():613] [no run ID] resuming backend
2025-06-21 21:40:00,177 INFO    MsgRouterThr:120361 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
