2025-06-22 15:53:06,363 INFO    Thread-14 (_run_job):562737 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_setup.py:_flush():70] Configure stats pid to 562737
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_setup.py:_flush():70] Loading settings from /home/cagri/.config/wandb/settings
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_setup.py:_flush():70] Loading settings from /home/cagri/Desktop/IS-584-Term-Project/wandb/settings
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/cagri/Desktop/IS-584-Term-Project/wandb/run-20250622_155306-u42svd5c/logs/debug.log
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/cagri/Desktop/IS-584-Term-Project/wandb/run-20250622_155306-u42svd5c/logs/debug-internal.log
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x701d02c1fe30>
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_init.py:init():852] calling init triggers
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_init.py:init():857] wandb.init called with sweep_config: {'lora_alpha': 16, 'lora_dropout': 0.05, 'max_length': 1024, 'n_shots': 2, 'r': 2}
config: {'_wandb': {}}
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_init.py:init():893] starting backend
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_init.py:init():897] sending inform_init request
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-22 15:53:06,364 INFO    Thread-14 (_run_job):562737 [wandb_init.py:init():907] backend started and connected
2025-06-22 15:53:06,366 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_config_callback():1436] config_cb None None {'lora_alpha': 16, 'lora_dropout': 0.05, 'max_length': 1024, 'n_shots': 2, 'r': 2}
2025-06-22 15:53:06,366 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_label_probe_notebook():1376] probe notebook
2025-06-22 15:53:06,367 INFO    Thread-14 (_run_job):562737 [wandb_init.py:init():1005] updated telemetry
2025-06-22 15:53:06,370 INFO    Thread-14 (_run_job):562737 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-06-22 15:53:06,992 INFO    Thread-14 (_run_job):562737 [wandb_init.py:init():1104] starting run threads in backend
2025-06-22 15:53:07,085 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_console_start():2573] atexit reg
2025-06-22 15:53:07,085 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-06-22 15:53:07,085 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-06-22 15:53:07,085 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_redirect():2513] Redirects installed.
2025-06-22 15:53:07,085 INFO    Thread-14 (_run_job):562737 [wandb_init.py:init():1150] run started, returning control to user process
2025-06-22 15:53:09,233 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_finish():2321] finishing run e274028-metu-middle-east-technical-university/tinyllama-fewshot/u42svd5c
2025-06-22 15:53:09,233 INFO    Thread-14 (_run_job):562737 [jupyter.py:save_history():477] not saving jupyter history
2025-06-22 15:53:09,233 INFO    Thread-14 (_run_job):562737 [jupyter.py:save_ipynb():401] not saving jupyter notebook
2025-06-22 15:53:09,233 INFO    Thread-14 (_run_job):562737 [wandb_init.py:_jupyter_teardown():628] cleaning up jupyter logic
2025-06-22 15:53:09,234 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 1
2025-06-22 15:53:09,234 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_restore():2520] restore
2025-06-22 15:53:09,234 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_restore():2526] restore done
2025-06-22 15:53:10,344 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-06-22 15:53:10,344 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-06-22 15:53:10,344 INFO    Thread-14 (_run_job):562737 [wandb_run.py:_footer_sync_info():4149] logging synced files
